positions_X,positions_y
-2.039999999999999,2.469999999999999
-2.039999999999999,2.719999999999999
-2.039999999999999,2.969999999999999
-2.039999999999999,3.219999999999999
-2.039999999999999,3.469999999999999
-1.9899999999999995,3.719999999999999
-1.9899999999999995,3.969999999999999
-1.9399999999999995,4.219999999999999
-1.9399999999999995,4.469999999999999
-1.89,4.719999999999999
-1.84,4.969999999999999
-1.739999999999999,5.219999999999999
-1.6899999999999995,5.469999999999999
-1.59,5.719999999999999
-1.489999999999999,5.969999999999999
-1.34,6.219999999999999
-1.1899999999999995,6.469999999999999
-1.09,6.719999999999999
-0.8899999999999997,6.969999999999999
-0.6399999999999997,7.219999999999999
-0.3899999999999997,7.469999999999999
-0.1399999999999996,7.67
0.1100000000000003,7.869999999999999
0.3600000000000003,8.02
0.6100000000000003,8.22
0.8600000000000003,8.37
1.1100000000000003,8.52
1.3600000000000003,8.719999999999999
1.6100000000000003,8.87
1.8600000000000008,9.02
2.110000000000001,9.07
2.360000000000001,9.12
2.610000000000001,9.17
2.860000000000001,9.27
3.110000000000001,9.32
3.360000000000001,9.32
3.5600000000000005,9.12
3.66,8.87
3.710000000000001,8.62
3.710000000000001,8.37
3.710000000000001,8.12
3.710000000000001,7.869999999999999
3.66,7.619999999999999
3.66,7.369999999999999
3.66,7.119999999999999
3.5100000000000007,6.869999999999999
3.41,6.619999999999999
3.16,6.52
2.91,6.469999999999999
2.66,6.369999999999999
2.41,6.32
2.16,6.27
1.91,6.119999999999999
1.660000000000001,6.02
1.410000000000001,5.77
1.2100000000000009,5.52
1.010000000000001,5.27
0.8600000000000003,5.02
0.7600000000000007,4.77
0.7100000000000009,4.52
0.6600000000000001,4.27
0.6100000000000003,4.02
0.5600000000000005,3.77
0.5600000000000005,3.52
0.5100000000000007,3.27
0.5100000000000007,3.02
0.5100000000000007,2.77
0.5100000000000007,2.52
0.5600000000000005,2.27
0.6100000000000003,2.02
0.6100000000000003,1.7699999999999996
0.7100000000000009,1.5199999999999996
0.7600000000000007,1.2699999999999996
0.8100000000000005,1.0199999999999996
0.8600000000000003,0.7699999999999996
0.9600000000000009,0.5199999999999996
1.0600000000000005,0.2699999999999996
1.160000000000001,0.0199999999999995
1.260000000000001,-0.2300000000000004
1.3600000000000003,-0.4800000000000004
1.4600000000000009,-0.7300000000000004
1.6100000000000003,-0.9800000000000004
1.7100000000000009,-1.2300000000000004
1.8600000000000008,-1.4800000000000004
2.0100000000000007,-1.7300000000000004
2.210000000000001,-1.8800000000000008
2.460000000000001,-1.9800000000000004
2.710000000000001,-2.030000000000001
2.960000000000001,-2.2300000000000004
3.210000000000001,-2.380000000000001
3.460000000000001,-2.630000000000001
3.66,-2.88
3.860000000000001,-3.13
4.010000000000001,-3.38
4.160000000000001,-3.63
4.3100000000000005,-3.880000000000003
4.460000000000001,-4.1300000000000034
